group,victim,attackdate,country,activity,sector,website,description
qilin,Industrial Carrocera Arbuciense,2026-04-21 19:40:57.988180,ES,Manufacturing,,,N/A
qilin,Kolin Turkey,2026-04-21 19:40:21.717233,TR,Manufacturing,,,N/A
qilin,Heartland Steel Products,2026-04-21 18:08:46.641417,US,Manufacturing,,,N/A
qilin,Safety Engineering Laboratories,2026-04-21 16:33:52.173461,US,Manufacturing,,,N/A
qilin,Huonker GmbH,2026-04-21 00:00:00.000000,DE,Manufacturing,,,N/A
qilin,SEL (Safety Engineering Laboratory),2026-04-20 00:00:00.000000,DE,Manufacturing,,,N/A
qilin,Herth+Buss,2026-04-13 18:37:30.649761,DE,Manufacturing,,,N/A
qilin,PGDIS.PAPETIQUE PRO,2026-04-13 00:00:00.000000,,Manufacturing,,,N/A
qilin,Guerin Glass,2026-04-10 20:52:36.321335,US,Manufacturing,,,N/A
qilin,"HIGASHIYAMA INDUSTRIES Co.,Ltd.",2026-04-09 00:00:00.000000,JP,Manufacturing,,,N/A
qilin,SERAM SpA,2026-03-31 19:16:48.755467,IT,Manufacturing,,,N/A
qilin,Dow,2026-03-30 00:00:00.000000,US,Manufacturing,,,N/A
qilin,Bedrosians Tile & Stone,2026-03-26 17:58:20.506037,US,Manufacturing,,,N/A
qilin,LP Kolding,2026-03-26 10:14:02.425324,DK,Manufacturing,,,N/A
qilin,Maderas Del Noroeste,2026-03-26 00:00:00.000000,ES,Manufacturing,,,N/A
qilin,Groupe SFPI,2026-03-23 17:44:24.307274,FR,Manufacturing,,,N/A
qilin,Southwire,2026-03-22 19:33:32.198351,US,Manufacturing,,,N/A
qilin,hollu Systemhygiene,2026-03-18 15:03:53.763292,AT,Manufacturing,,,N/A
qilin,Sievert Electric Service and Sales,2026-03-18 13:40:41.888458,US,Manufacturing,,,N/A
qilin,Biogel,2026-03-16 09:14:47.634320,SE,Manufacturing,,,N/A
qilin,Millard Manufacturing,2026-03-13 14:43:28.286291,US,Manufacturing,,,N/A
qilin,Omega Optical,2026-03-11 16:23:39.489448,US,Manufacturing,,,N/A
qilin,Curtiembre Austral S.R.L.,2026-03-11 00:00:00.000000,AR,Manufacturing,,,N/A
qilin,Albany Pumps,2026-03-06 19:46:32.029039,GB,Manufacturing,,,N/A
qilin,Nopa Industriearmaturen,2026-03-05 18:37:43.765852,DE,Manufacturing,,,N/A
qilin,Golden Clay Industries Sdn Bhd,2026-03-04 11:48:31.916471,MY,Manufacturing,,,N/A
qilin,Gericke,2026-03-03 20:13:20.960171,CH,Manufacturing,,,N/A
qilin,Conklin Office Furniture,2026-03-03 20:12:41.172442,US,Manufacturing,,,N/A
qilin,Akkök Holding,2026-03-02 19:11:05.007830,TR,Manufacturing,,,N/A
qilin,LISI Group,2026-03-01 19:14:10.730869,FR,Manufacturing,,,N/A
qilin,Special Shapes Refractory,2026-03-01 17:28:54.000000,US,Manufacturing,,,N/A
qilin,Pro-Plastics,2026-02-28 21:02:36.060651,,Manufacturing,,,N/A
qilin,GENERON,2026-02-23 19:37:42.106538,US,Manufacturing,,,N/A
qilin,AllChem Industries,2026-02-22 14:26:51.418929,US,Manufacturing,,,N/A
qilin,Maintenance & Project Engineering,2026-02-22 07:06:04.992637,AU,Manufacturing,,,N/A
qilin,Complete Thermal Svc,2026-02-22 07:05:13.103045,US,Manufacturing,,,N/A
qilin,Kensington HPP,2026-02-19 14:31:49.593088,US,Manufacturing,,,N/A
qilin,O.Berk,2026-02-18 17:17:12.458528,US,Manufacturing,,,N/A
qilin,Carrera Casting,2026-02-13 17:39:42.889145,US,Manufacturing,,,N/A
qilin,C4 (Carroll County Cannabis Co.,2026-02-10 12:57:46.709242,US,Manufacturing,,,N/A
qilin,Body By Fisher,2026-02-09 15:36:16.697888,,Manufacturing,,,N/A
qilin,Gradient Wind Engineering,2026-02-09 15:35:38.159830,CA,Manufacturing,,,N/A
qilin,AMR PEMCO,2026-02-07 13:21:54.876446,US,Manufacturing,,,N/A
qilin,Mills Products,2026-01-26 04:30:34.173440,US,Manufacturing,,,N/A
qilin,Centrotherm International,2026-01-25 22:09:19.270023,DE,Manufacturing,,,N/A
qilin,Milott Laboratories,2026-01-24 05:22:28.667543,TH,Manufacturing,,,N/A
qilin,Segue Manufacturing Services,2026-01-22 00:00:00.000000,US,Manufacturing,,,N/A
qilin,YCC Parts Mfg,2026-01-18 00:00:00.000000,TW,Manufacturing,,,N/A
qilin,Fluorsid Spa,2026-01-17 07:00:19.154121,IT,Manufacturing,,,N/A
qilin,Colacem,2026-01-17 06:57:10.931704,IT,Manufacturing,,,N/A
qilin,Moen,2026-01-15 19:59:16.954175,US,Manufacturing,,,N/A
qilin,Aero-Coating,2026-01-15 19:58:38.204824,DE,Manufacturing,,,N/A
qilin,Ernest Maier,2026-01-14 17:16:37.329040,US,Manufacturing,,,N/A
qilin,Designers Mirror and Glass,2026-01-14 17:15:58.069899,US,Manufacturing,,,N/A
qilin,Superior Water Conditioning,2026-01-12 00:00:00.000000,US,Manufacturing,,,N/A
qilin,Evergreen Printing,2026-01-07 17:51:01.064911,,Manufacturing,,,N/A
qilin,Sönmezler Metal,2026-01-04 13:09:14.306112,TR,Manufacturing,,,N/A
qilin,Röben Tonbaustoffe,2026-01-02 16:22:12.443111,DE,Manufacturing,,,N/A
qilin,BNZ Materials,2025-12-31 16:20:03.521256,US,Manufacturing,,,N/A
qilin,SEACSUB S.p.a.,2025-12-29 18:26:58.814289,IT,Manufacturing,,,N/A
qilin,Sintac Recycling,2025-12-29 14:44:38.660414,ES,Manufacturing,,,N/A
qilin,Hometech Window,2025-12-26 17:55:21.443922,US,Manufacturing,,,N/A
qilin,Lynn Electrical,2025-12-25 08:32:23.063395,NZ,Manufacturing,,,N/A
qilin,Acme Electric,2025-12-22 17:57:27.888378,,Manufacturing,,,N/A
qilin,Besco Electrical,2025-12-22 17:55:08.269069,,Manufacturing,,,N/A
qilin,National Biscuit Industries,2025-12-22 17:53:42.596879,OM,Manufacturing,,,N/A
qilin,Hongfa America,2025-12-22 15:13:02.613474,US,Manufacturing,,,N/A
qilin,Titan Motor Group,2025-12-20 16:55:55.576155,US,Manufacturing,,,N/A
qilin,Greene Metal Products,2025-12-12 08:48:10.524757,US,Manufacturing,,,N/A
qilin,Vestil Manufacturing,2025-12-10 05:46:29.811681,US,Manufacturing,,,N/A
qilin,CIDEF Argentina S.A.,2025-12-10 00:00:00.000000,AR,Manufacturing,,,N/A
qilin,Acoustical Control,2025-12-07 13:53:45.601558,IN,Manufacturing,,,N/A
qilin,"Sanko Air Conditioning Co., Ltd.",2025-12-07 11:22:57.616212,JP,Manufacturing,,,N/A
qilin,Diesel Electric,2025-12-06 04:57:36.063664,ZA,Manufacturing,,,N/A
qilin,Institutional & Supermarket Equipment,2025-12-04 13:18:37.301384,US,Manufacturing,,,N/A
qilin,Mainetti UK,2025-12-03 16:54:33.059219,UK,Manufacturing,,,N/A
qilin,Brodosplit,2025-12-03 13:50:07.340602,HR,Manufacturing,,,N/A
qilin,NUMALLIANCE,2025-12-03 13:49:09.890867,FR,Manufacturing,,,N/A
qilin,Saca Industrie SpA,2025-12-02 17:39:45.512632,IT,Manufacturing,,,N/A
qilin,HASCO Hasenclever,2025-12-01 17:19:57.021721,DE,Manufacturing,,,N/A
qilin,Chenango Valley Technologies,2025-11-29 20:06:28.650725,US,Manufacturing,,,N/A
qilin,WLR Precision Engineering,2025-11-27 06:04:04.282753,GB,Manufacturing,,,N/A
qilin,Disston,2025-11-26 10:48:06.819812,US,Manufacturing,,,N/A
qilin,Eastek International,2025-11-26 08:41:33.210371,US,Manufacturing,,,N/A
qilin,HYTORC,2025-11-24 20:36:33.614111,US,Manufacturing,,,N/A
qilin,Cimertex,2025-11-20 17:13:11.684069,PT,Manufacturing,,,N/A
qilin,QuaLex Manufacturing,2025-11-18 12:18:45.933178,,Manufacturing,,,N/A
qilin,Muskoka Brewery,2025-11-13 13:43:02.866332,CA,Manufacturing,,,N/A
qilin,"Fundidora de Cananea, S.A",2025-11-13 00:00:00.000000,MX,Manufacturing,,,N/A
qilin,Mciver Engineering & Controls,2025-11-10 17:36:34.294319,US,Manufacturing,,,N/A
qilin,Gullco International,2025-11-09 11:58:51.781886,CA,Manufacturing,,,N/A
qilin,Hitzinger,2025-11-09 03:11:58.463917,AT,Manufacturing,,,N/A
qilin,Marine Turbine Technologies,2025-11-07 19:18:02.723083,US,Manufacturing,,,N/A
qilin,Gun Accessory Supply,2025-10-31 08:47:05.056190,US,Manufacturing,,,N/A
